epochs;train_loss;val_loss;accuracy_skl;precision_skl_macro;precision_skl_wgt;recall_skl_macro;recall_skl_wgt;f1_skl_macro;f1_skl_wgt;auc_skl_macro;auc_skl_wgt;accuracy_tf;precision_tf;recall_tf;auc_tf
20;0.6040783524513245;0.8152443766593933;0.7287968441814595;0.682714874209576;0.7274120803763386;0.5993172219600328;0.7287968441814595;0.6200654423894666;0.7217390812635601;0.9150021314333566;0.9083762903727128;0.72879684;0.76627535;0.7080868;0.9378301
23;0.5951876044273376;0.754625678062439;0.7593688362919132;0.7280043076161403;0.7572975051209135;0.6153279078426355;0.7593688362919132;0.6493316757932525;0.754481809485789;0.9293249376955602;0.9127367203146715;0.75936884;0.773822;0.72879684;0.9452628
23;0.6268076300621033;0.7879848480224609;0.7307692307692307;0.6655837947227891;0.7275194505644439;0.5496229522124553;0.7307692307692307;0.578957278901317;0.7194739230624446;0.9193357837848585;0.9039541983746605;0.7307692;0.7521097;0.7031558;0.94296736
25;0.5564277768135071;0.7955799698829651;0.7285291214215203;0.6005889451903413;0.7315335050957954;0.5925907945177468;0.7285291214215203;0.5880212976893384;0.7282528017818632;0.9052845672842725;0.8920667144625357;0.7285291;0.7649007;0.6841066;0.93908596
21;0.6192925572395325;0.8010154366493225;0.7386587771203156;0.6874216274850024;0.740636537246637;0.5989645383971074;0.7386587771203156;0.6319329425225856;0.7280348726604656;0.9252080456771662;0.9082771123347649;0.7386588;0.763048;0.7209073;0.94266534
46;0.5274679660797119;0.783972978591919;0.7416173570019724;0.7215039882710012;0.7394998564965253;0.5842590881516929;0.7416173570019724;0.6325439817723376;0.7331424637313866;0.9159316832101584;0.9001612515837799;0.7416174;0.77045697;0.71499014;0.9419215
26;0.5794066190719604;0.7596412897109985;0.7504930966469427;0.6852637740523013;0.751490154681483;0.5895972063154546;0.7504930966469427;0.6054078546046159;0.7412172468986348;0.9258530512393569;0.9176018114711775;0.7504931;0.7727749;0.7278106;0.94473314
60;0.5252346396446228;0.806975781917572;0.7384007897334649;0.652464697739212;0.7393268942427079;0.6115830333278205;0.7384007897334649;0.6260459311533935;0.7308568248809747;0.9211562284739446;0.9049284890082901;0.7384008;0.7544225;0.715696;0.9419208
24;0.5639142394065857;0.7728317379951477;0.7534516765285996;0.6588339205152303;0.7467055142812187;0.5866161970404097;0.7534516765285996;0.6163801146111232;0.7467230863652813;0.9188429518629833;0.9114751440640109;0.7534517;0.7706806;0.72583824;0.94492537
27;0.5516412258148193;0.761896014213562;0.7386587771203156;0.7041485518162918;0.73669630030223;0.6165613437014191;0.7386587771203156;0.6504935457916525;0.7332017197692146;0.9143183099168507;0.9064497294167392;0.7386588;0.7663848;0.71499014;0.9451835
38;0.5185114145278931;0.832643985748291;0.7327416173570019;0.6775948282939604;0.7291794958826336;0.5955980986197369;0.7327416173570019;0.6282319235868483;0.7261161813923004;0.9142981230855979;0.9041785585778298;0.7327416;0.75757575;0.71499014;0.9385894
26;0.5686967968940735;0.7756491899490356;0.7393879565646594;0.6514440549619204;0.736059543887731;0.6022861759123707;0.7393879565646594;0.6227967351801164;0.7345923540493586;0.9215249178924673;0.9032976048665792;0.7393879;0.7701271;0.71767026;0.9418165
