epochs;train_loss;val_loss;accuracy_skl;precision_skl_macro;precision_skl_wgt;recall_skl_macro;recall_skl_wgt;f1_skl_macro;f1_skl_wgt;auc_skl_macro;auc_skl_wgt;accuracy_tf;precision_tf;recall_tf;auc_tf
20;0.46676725149154663;0.7094135880470276;0.7465483234714004;0.671851773118577;0.7430099925648502;0.5860829274166445;0.7465483234714004;0.6174015287710503;0.7418079775028945;0.9236723961148937;0.9102333466845278;0.7465483;0.7814855;0.71597636;0.9484254
23;0.43904387950897217;0.6814683675765991;0.7495069033530573;0.7224833541694006;0.7465808427742514;0.6196064268928317;0.7495069033530573;0.6603268287737584;0.7423456312887905;0.9354892830054702;0.9204069547611388;0.7495069;0.78214663;0.72583824;0.95217526
24;0.46093669533729553;0.6561043858528137;0.7692307692307693;0.7278725963377591;0.770700898206421;0.670038219128577;0.7692307692307693;0.6947322986473662;0.763989233709376;0.9343689815752625;0.9193470974036911;0.7692308;0.7997835;0.72879684;0.95487195
20;0.4918457269668579;0.667218029499054;0.7620927936821322;0.6953090957836653;0.7583366892703227;0.6344105258427554;0.7620927936821322;0.6602449640784334;0.7552423972198405;0.9272390774055862;0.9178320932404316;0.76209277;0.7880724;0.73050344;0.95354
17;0.5124512314796448;0.6866771578788757;0.7534516765285996;0.6947400395587225;0.7471476139750597;0.5816661387074519;0.7534516765285996;0.6220509532756182;0.7444961204172958;0.9282666987389242;0.9157230919500544;0.7534517;0.7887324;0.71794873;0.9516508
27;0.4255391061306;0.7015089392662048;0.7652859960552268;0.7064922019919151;0.7617630122029948;0.5831338553970399;0.7652859960552268;0.6203896226345206;0.7576348497771032;0.9233552055561697;0.9187754480088457;0.76528597;0.7881356;0.7337278;0.95034784
19;0.5059852004051208;0.6762370467185974;0.7613412228796844;0.7190862067209146;0.7630731359730061;0.6615706700271219;0.7613412228796844;0.6844518510701719;0.755695754633743;0.9369182331938516;0.9196112969301881;0.7613412;0.78541225;0.7327416;0.952596
21;0.46542224287986755;0.6826965808868408;0.7551826258637709;0.7228209597681898;0.7607675335043045;0.6466453932240818;0.7551826258637709;0.6676028340013463;0.7488787060170027;0.935335845193932;0.9136988044686406;0.7551826;0.77883595;0.7265548;0.95215374
30;0.4191291630268097;0.6707404255867004;0.7662721893491125;0.720063809017756;0.7658348789413267;0.6317956176864113;0.7662721893491125;0.6671767744475882;0.7600983181544707;0.935143910892069;0.9175819234219015;0.7662722;0.79148936;0.7337278;0.9537691
33;0.41829049587249756;0.6772387623786926;0.7564102564102564;0.6640742443397311;0.7484931557361781;0.5752429951954251;0.7564102564102564;0.6057501807712976;0.7480573590711174;0.935979012819215;0.9168642392261813;0.75641024;0.7844374;0.7357002;0.9532378
21;0.4670563042163849;0.7009218335151672;0.7534516765285996;0.6742450433816658;0.7576048513749916;0.6251921238004674;0.7534516765285996;0.64159048107204;0.7469716274054216;0.9211007431781998;0.9186401514737307;0.7534517;0.780303;0.7110454;0.95039445
21;0.4598905146121979;0.694549024105072;0.7640671273445212;0.7143893269672977;0.7650246396100285;0.6620449871295594;0.7640671273445212;0.6827895530239694;0.7610238562375911;0.9246212340535255;0.9122591446802252;0.7640671;0.78655285;0.727542;0.95009345
