epochs;train_loss;val_loss;accuracy_skl;precision_skl_macro;precision_skl_wgt;recall_skl_macro;recall_skl_wgt;f1_skl_macro;f1_skl_wgt;auc_skl_macro;auc_skl_wgt;accuracy_tf;precision_tf;recall_tf;auc_tf
21;0.5276761651039124;0.6362033486366272;0.7781065088757396;0.764655755824561;0.7832795041966284;0.6599815640919339;0.7781065088757396;0.6996984647730345;0.7725622369326377;0.944289920271952;0.9252953351080947;0.7781065;0.8029979;0.73964494;0.9577397
23;0.4933100640773773;0.6520227193832397;0.7761341222879684;0.7533226370287466;0.7765558956472847;0.6391121616334033;0.7761341222879684;0.6643358920706066;0.7705553560228056;0.9378970538145329;0.9242168545468532;0.77613413;0.8054054;0.73471403;0.955349
33;0.4863806962966919;0.6007572412490845;0.7830374753451677;0.752118387658971;0.7856640756026699;0.6682254992453766;0.7830374753451677;0.6945284971185774;0.7802487221933346;0.9485880537485398;0.9319743329893765;0.7830375;0.81681037;0.7475345;0.9617588
20;0.5089821815490723;0.6922551393508911;0.7522211253701876;0.6774373208839708;0.7522385713856998;0.6511974919487088;0.7522211253701876;0.6612341475010616;0.7501495125303648;0.9320813054874755;0.9199958767441869;0.7522211;0.7825619;0.71767026;0.95112294
22;0.502362072467804;0.6768150925636292;0.7662721893491125;0.7301843064757242;0.7730353761308515;0.635915364244215;0.7662721893491125;0.6695086449166231;0.7588635726900409;0.9368780656532746;0.9292795440734112;0.7662722;0.7946524;0.7327416;0.9526064
26;0.47779595851898193;0.638403594493866;0.7761341222879684;0.719899443527854;0.7759968920372776;0.6505832451057673;0.7761341222879684;0.6794307949771078;0.7727559709591373;0.9413651183849879;0.9295416682126354;0.77613413;0.8054968;0.75147927;0.95860827
19;0.5233052968978882;0.6517615914344788;0.757396449704142;0.6787059106537564;0.7558027938161943;0.6233852284999509;0.757396449704142;0.6389503773839266;0.7539350690058776;0.9351249890653195;0.9128543834092199;0.75739646;0.78532904;0.71794873;0.95542395
35;0.45646050572395325;0.6096856594085693;0.773938795656466;0.7294159500619113;0.7711835392125949;0.6572115660952139;0.773938795656466;0.6880920795703186;0.7696404307779703;0.9478695299863863;0.9311024915402705;0.7739388;0.79617834;0.7403751;0.9607415
39;0.47391536831855774;0.6470823287963867;0.772189349112426;0.741264443782331;0.7778687423170487;0.6420207230984735;0.772189349112426;0.6591996747252379;0.7665566640856755;0.9418042727391462;0.9289254691786651;0.7721894;0.80467093;0.7475345;0.9563314
22;0.48782798647880554;0.6938033103942871;0.7583826429980276;0.7190572298586931;0.7601924278462617;0.641962217069204;0.7583826429980276;0.6732389516235836;0.753261099640856;0.9332407673884301;0.9193087740991628;0.7583826;0.78755367;0.72386587;0.9509449
24;0.489639550447464;0.6360918879508972;0.7633136094674556;0.7861212160805403;0.7657182824901719;0.6279397574799216;0.7633136094674556;0.6649111772427214;0.7568561227525958;0.9455609167704843;0.9207807041755248;0.7633136;0.78691983;0.7357002;0.95839053
32;0.46995124220848083;0.6105320453643799;0.786771964461994;0.7016937875603778;0.7873387626162617;0.6805927339166528;0.786771964461994;0.6846261232307743;0.7848215076856689;0.9471245198781375;0.9340001964360478;0.78677195;0.81415;0.76110566;0.9608347
